symbol,name,reportDate,fiscalDateEnding,estimate,currency
IOBT,IO Biotech Inc,2023-08-10,2023-06-30,-0.655,USD
IOCJY,IOCJY,2023-08-09,2023-06-30,0.0263,BRL
IONM,Assure Holdings Corp,2023-08-14,2023-06-30,-1.87,USD
IONQ,IonQ Inc,2023-08-14,2023-06-30,-0.13,USD
IONS,Ionis Pharmaceuticals Inc,2023-08-07,2023-06-30,-0.88,USD
IOR,Income Opportunity Realty Investors Inc,2023-08-10,2023-06-30,,USD
IOSP,Innospec Inc,2023-07-31,2023-06-30,1.31,USD
IOT,Samsara Inc - Class A,2023-08-31,2023-07-31,-0.0315,USD
IOUFF,IOUFF,2023-08-24,2023-06-30,,CAD
IOVA,Iovance Biotherapeutics Inc,2023-08-02,2023-06-30,-0.76,USD
IP,International Paper Company,2023-07-27,2023-06-30,0.42,USD
IPA,ImmunoPrecise Antibodies Ltd,2023-07-27,2023-04-30,-0.13,CAD
IPA,ImmunoPrecise Antibodies Ltd,2023-09-12,2023-07-31,,CAD
IPAR,Inter Parfums Inc,2023-08-07,2023-06-30,0.81,USD
IPCFF,IPCFF,2023-07-31,2023-06-30,,USD
IPDN,Professional Diversity Network Inc,2023-08-14,2023-06-30,,USD
IPG,Interpublic Group Of Cos. Inc,2023-07-19,2023-06-30,0.61,USD
IPGP,IPG Photonics Corp,2023-07-31,2023-06-30,1.24,USD
IPHA,Innate Pharma,2023-09-14,2023-06-30,-0.14,EUR
IPI,Intrepid Potash Inc,2023-08-02,2023-06-30,0.41,USD
IPIC,IPIC,2023-08-10,2023-06-30,0,USD
IPLY,IPLY,2023-08-18,2023-06-30,0,USD
IPMLF,IPMLF,2023-08-07,2023-06-30,,CAD
IPOAF,IPOAF,2023-07-28,2023-06-30,0.2,USD
IPOOF,IPOOF,2023-08-09,2023-06-30,,CAD
IPSC,Century Therapeutics Inc,2023-08-10,2023-06-30,-0.5356,USD
IPSEY,IPSEY,2023-07-27,2023-06-30,0,EUR
IPVF,InterPrivate III Financial Partners Inc - Class A,2023-08-20,2023-06-30,,USD
IPWR,Ideal Power Inc,2023-08-14,2023-06-30,-0.42,USD
IQ,iQIYI Inc,2023-08-28,2023-06-30,0.05,CNY
IQEPF,IQEPF,2023-09-05,2023-06-30,0,GBP
IQST,IQST,2023-08-14,2023-06-30,,USD
IQV,IQVIA Holdings Inc,2023-07-19,2023-06-30,2.37,USD
IR,Ingersoll-Rand Inc,2023-08-01,2023-06-30,0.6,USD
IRBT,Irobot Corp,2023-08-03,2023-06-30,-1.53,USD
IRDM,Iridium Communications Inc,2023-07-24,2023-06-30,0.04,USD
IREN,Iris Energy Ltd,2023-06-23,2023-03-31,-0.25,AUD
IREN,Iris Energy Ltd,2023-09-11,2023-06-30,-0.0725,AUD
IRIX,IRIDEX Corp,2023-08-14,2023-06-30,-0.11,USD
IRLTY,IRLTY,2023-08-31,2023-06-30,0,EUR
IRM,Iron Mountain Inc,2023-08-02,2023-06-30,0.4,USD
IRMD,Iradimed Corp,2023-07-27,2023-06-30,0.31,USD
IRMTF,IRMTF,2023-08-01,2023-06-30,,CAD
IRNT,IronNet Inc,2023-09-12,2023-06-30,-0.11,USD
IRON,Disc Medicine Inc,2023-08-09,2023-06-30,-0.88,USD
IROQ,IF Bancorp Inc,2023-08-29,2023-06-30,,USD
IRS,Irsa Inversiones Y Representaciones S.A.,2023-09-06,2023-06-30,0,ARS
IRT,Independence Realty Trust Inc,2023-07-25,2023-06-30,0.05,USD
IRTC,iRhythm Technologies Inc,2023-08-02,2023-06-30,-0.78,USD
IRWD,Ironwood Pharmaceuticals Inc - Class A,2023-08-02,2023-06-30,0.25,USD
ISBA,ISBA,2023-07-19,2023-06-30,0.68,USD
ISCO,ISCO,2023-08-16,2023-06-30,0,USD
ISDCF,ISDCF,2023-07-24,2023-06-30,0,USD
ISDR,Issuer Direct Corp,2023-08-02,2023-06-30,0.42,USD
ISEE,IVERIC bio Inc,2023-07-24,2023-06-30,-0.49,USD
ISEYF,ISEYF,2023-08-10,2023-06-30,,USD
ISGN,ISGN,2023-08-14,2023-06-30,0,USD
ISIG,Insignia Systems Inc,2023-08-07,2023-06-30,,USD
ISNPY,ISNPY,2023-07-28,2023-06-30,0.709,EUR
ISPC,iSpecimen Inc,2023-08-08,2023-06-30,-0.31,USD
ISPO,Inspirato Incorporated - Class A,2023-08-07,2023-06-30,-0.09,USD
ISRG,Intuitive Surgical Inc,2023-07-20,2023-06-30,1.32,USD
ISSC,Innovative Solutions And Support Inc,2023-08-08,2023-06-30,0.08,USD
ISTR,Investar Holding Corp,2023-07-24,2023-06-30,0.39,USD
ISUN,iSun Inc,2023-08-14,2023-06-30,-0.13,USD
ISUZY,ISUZY,2023-08-04,2023-06-30,0.4656,JPY
ISVLF,ISVLF,2023-08-28,2023-06-30,,CAD
IT,Gartner Inc,2023-07-31,2023-06-30,2.51,USD
ITCB,ITCB,2023-07-31,2023-06-30,760.14,CLP
ITCI,Intra-Cellular Therapies Inc,2023-08-07,2023-06-30,-0.6,USD
ITCL,Banco Itau Chile.,2023-07-31,2023-06-30,760.14,CLP
ITGR,Integer Holdings Corp,2023-07-26,2023-06-30,1,USD
ITHUF,ITHUF,2023-08-14,2023-06-30,,USD
ITI,Iteris Inc,2023-08-02,2023-06-30,-0.01,USD
ITIC,Investors Title Company,2023-08-03,2023-06-30,,USD
ITMSF,ITMSF,2023-08-09,2023-06-30,,USD
ITOCY,ITOCY,2023-08-04,2023-06-30,1.83,JPY
ITOS,ITeos Therapeutics Inc,2023-08-08,2023-06-30,-1.03,USD
ITOX,ITOX,2023-08-23,2023-06-30,,USD
ITP,IT Tech Packaging Inc,2023-08-07,2023-06-30,,USD
ITRG,Integra Resources Corp,2023-08-10,2023-06-30,-0.0809,USD
ITRI,Itron Inc,2023-08-02,2023-06-30,0.3,USD
ITRM,Iterum Therapeutics Plc,2023-08-11,2023-06-30,-0.79,USD
ITRN,Ituran Location And Control Ltd,2023-08-28,2023-06-30,0.53,USD
ITT,ITT Inc,2023-08-02,2023-06-30,1.17,USD
ITUB,Itau Unibanco Holding S.A.,2023-08-07,2023-06-30,0.1752,BRL
ITW,Illinois Tool Works Inc,2023-07-31,2023-06-30,2.4,USD
IVAC,Intevac Inc,2023-08-01,2023-06-30,-0.21,USD
IVC,IVC,2023-08-07,2023-06-30,-0.09,USD
IVCRQ,IVCRQ,2023-08-07,2023-06-30,-0.09,USD
IVDA,Iveda Solutions Inc,2023-08-30,2023-06-30,-0.02,USD
IVPAF,IVPAF,2023-08-14,2023-06-30,0.0877,USD
IVR,Invesco Mortgage Capital Inc,2023-08-02,2023-06-30,0.97,USD
IVREF,IVREF,2023-08-14,2023-06-30,,CAD
IVT,InvenTrust Properties Corp,2023-07-31,2023-06-30,0.02,USD
IVVD,Invivyd Inc,2023-09-18,2023-06-30,-0.375,USD
IVZ,Invesco Ltd,2023-07-25,2023-06-30,0.39,USD
IWSH,IWSH,2023-08-10,2023-06-30,0,USD
IX,Orix Corporation,2023-07-31,2023-06-30,2.66,JPY
IZEA,IZEA Worldwide Inc,2023-08-14,2023-06-30,-0.16,USD
J,Jacobs Solutions Inc,2023-08-01,2023-06-30,1.84,USD
JACK,Jack In The Box Inc,2023-08-08,2023-06-30,1.33,USD
JAGGF,JAGGF,2023-08-10,2023-06-30,0.06,USD
JAGX,Jaguar Health Inc,2023-08-21,2023-06-30,,USD
JAKK,Jakks Pacific Inc,2023-07-25,2023-06-30,0.89,USD
JAMF,Jamf Holding Corp,2023-08-02,2023-06-30,0.03,USD
JAN,JanOne Inc,2023-08-10,2023-06-30,0,USD
JANX,Janux Therapeutics Inc,2023-08-08,2023-06-30,-0.502,USD
JAPAY,JAPAY,2023-07-31,2023-06-30,0.2824,JPY
JAZZ,Jazz Pharmaceuticals plc,2023-08-08,2023-06-30,4.48,USD
JBAXY,JBAXY,2023-07-24,2023-06-30,0.6568,CHF
JBGS,JBG SMITH Properties,2023-07-31,2023-06-30,-0.14,USD
JBHT,J.B. Hunt Transport Services Inc,2023-07-18,2023-06-30,2.02,USD
JBI,Janus International Group Inc - Class A,2023-08-08,2023-06-30,0.2017,USD
JBLU,Jetblue Airways Corp,2023-07-31,2023-06-30,0.39,USD
JBSAY,JBSAY,2023-08-09,2023-06-30,0.0621,BRL
JBSS,Sanfilippo (John B.) & Son Inc,2023-08-22,2023-06-30,0.86,USD
JBT,John Bean Technologies Corp,2023-07-25,2023-06-30,1.22,USD
JCI,Johnson Controls International plc,2023-07-31,2023-06-30,1.03,USD
JCTCF,Jewett-Cameron Trading Co. Ltd,2023-07-12,2023-05-31,,USD
JD,JD.com Inc,2023-08-21,2023-06-30,4.87,CNY
JECFF,JECFF,2023-08-28,2023-06-30,,USD
JEF,Jefferies Financial Group Inc,2023-06-27,2023-03-31,0.35,USD
JELD,JELD-WEN Holding Inc,2023-07-31,2023-06-30,0.35,USD
JERT,JERT,2023-08-08,2023-06-30,0,USD
JETMF,JETMF,2023-08-23,2023-06-30,0,USD
JEXYY,JEXYY,2023-08-25,2023-06-30,0.7644,CNY
JFBC,JFBC,2023-08-07,2023-06-30,,USD
JFIN,Jiayin Group Inc,2023-08-16,2023-06-30,,CNY
JG,Aurora Mobile Ltd,2023-09-13,2023-06-30,-0.2862,CNY
JGLDF,JGLDF,2023-08-24,2023-06-30,,CAD
JHG,Janus Henderson Group plc,2023-07-24,2023-06-30,0.54,USD
JHX,James Hardie Industries plc,2023-08-11,2023-06-30,0.3053,USD
JILL,J.Jill Inc,2023-08-30,2023-07-31,0.8,USD
JINFF,JINFF,2023-08-14,2023-06-30,,USD
JJSF,J&J Snack Foods Corp,2023-07-31,2023-06-30,1.52,USD
JKHY,Jack Henry & Associates Inc,2023-08-14,2023-06-30,1.18,USD
JKS,JinkoSolar Holding Co. Ltd,2023-08-24,2023-06-30,1.67,USD
JLL,Jones Lang Lasalle Inc,2023-08-01,2023-06-30,2.48,USD
JMIA,Jumia Technologies Ag,2023-08-08,2023-06-30,-0.31,USD
JMPHF,JMPHF,2023-08-16,2023-06-30,,CAD
JMPLY,JMPLY,2023-07-19,2023-06-30,0,GBP
JNCCF,JNCCF,2023-08-28,2023-06-30,,CAD
JNCE,Jounce Therapeutics Inc,2023-08-02,2023-06-30,-0.37,USD
JNJ,Johnson & Johnson,2023-07-20,2023-06-30,2.62,USD
JNPR,Juniper Networks Inc,2023-07-27,2023-06-30,0.55,USD
JOAN,JOANN Inc,2023-08-30,2023-07-31,-1.12,USD
JOB,GEE Group Inc,2023-08-14,2023-06-30,0.02,USD
JOBY,Joby Aviation Inc,2023-08-07,2023-06-30,-0.15,USD
JOE,St. Joe Company,2023-07-25,2023-06-30,,USD
JOUT,Johnson Outdoors Inc - Class A,2023-08-03,2023-06-30,1.73,USD
JPM,JPMorgan Chase & Company,2023-07-14,2023-06-30,3.98,USD
JPSWY,JPSWY,2023-08-07,2023-06-30,0,USD
JRJCY,JRJCY,2023-08-30,2023-06-30,0,USD
JRJRQ,JRJRQ,2023-08-30,2023-06-30,0,USD
JRNGF,JRNGF,2023-07-26,2023-06-30,,CAD
JRSH,Jerash holdings (US) Inc,2023-08-09,2023-06-30,0.185,USD
JRSS,JRSS,2023-09-12,2023-06-30,,USD
JRVMF,JRVMF,2023-08-14,2023-06-30,-0.0028,USD
JRVR,James River Group Holdings Ltd,2023-07-31,2023-06-30,0.54,USD
JSAIY,JSAIY,2023-07-04,2023-06-30,0,GBP
JSDA,JSDA,2023-08-02,2023-06-30,,USD
JSPR,Jasper Therapeutics Inc,2023-08-10,2023-06-30,-0.15,USD
JT,Jianpu Technology Inc,2023-08-21,2023-06-30,,USD
JTKWY,JTKWY,2023-07-26,2023-06-30,0,EUR
JUPW,Jupiter Wellness Inc,2023-08-15,2023-06-30,0,USD
JUSHF,JUSHF,2023-08-28,2023-06-30,-0.1,USD
JUVF,JUVF,2023-07-19,2023-06-30,,USD
JVA,Coffee Holding Co Inc,2023-09-12,2023-07-31,,USD
JWLLF,JWLLF,2023-08-02,2023-06-30,,CAD
JWN,Nordstrom Inc,2023-08-21,2023-07-31,0.44,USD
JXN,Jackson Financial Inc - Class A,2023-08-10,2023-06-30,3.78,USD
JYNT,Joint Corp,2023-08-02,2023-06-30,0.02,USD
K,Kellogg Company,2023-08-03,2023-06-30,1.11,USD
KA,Kineta Inc,2023-08-02,2023-06-30,-0.62,USD
KAJMY,KAJMY,2023-08-08,2023-06-30,0.2907,JPY
KAL,KAL,2023-08-18,2023-06-30,-31.9,USD
KALA,Kala Pharmaceuticals Inc,2023-08-09,2023-06-30,-3.19,USD
KALRQ,KALRQ,2023-08-18,2023-06-30,-31.9,USD
KALU,Kaiser Aluminum Corp,2023-07-24,2023-06-30,0.51,USD
KALV,KalVista Pharmaceuticals Inc,2023-07-05,2023-04-30,-0.94,USD
KALV,KalVista Pharmaceuticals Inc,2023-09-06,2023-07-31,-0.895,USD
KAMN,Kaman Corp,2023-08-02,2023-06-30,0.08,USD
KAR,Openlane Inc,2023-07-31,2023-06-30,0.12,USD
KARO,Karooooo Ltd,2023-07-12,2023-05-31,0.3,ZAR
KAVL,Kaival Brands Innovations Group Inc,2023-09-04,2023-07-31,0,USD
KAYS,KAYS,2023-08-21,2023-06-30,,USD
KB,KB Financial Group Inc,2023-07-20,2023-06-30,2.69,KRW
KBAL,Kimball International Inc - Class B,2023-08-02,2023-06-30,0.33,USD
KBH,KB Home,2023-09-19,2023-08-31,1.29,USD
KBLB,KBLB,2023-07-31,2023-06-30,,USD
KBNT,Kubient Inc,2023-08-14,2023-06-30,-0.13,USD
KBR,KBR Inc,2023-07-31,2023-06-30,0.72,USD
KBRLF,KBRLF,2023-08-07,2023-06-30,,CAD
KC,Kingsoft Cloud Holdings Ltd,2023-08-17,2023-06-30,-0.2,CNY
KCDMY,KCDMY,2023-07-20,2023-06-30,0.1523,MXN
KCLI,KCLI,2023-07-27,2023-06-30,,USD
KD,Kyndryl Holdings Inc,2023-08-30,2023-06-30,-0.9522,USD
KDCCF,KDCCF,2023-08-17,2023-06-30,,CAD
KDDIY,KDDIY,2023-08-03,2023-06-30,0.3226,USD
KDKGF,KDKGF,2023-06-26,2023-05-31,,USD
KDNY,Chinook Therapeutics Inc,2023-08-07,2023-06-30,-0.81,USD
KDOZF,KDOZF,2023-08-14,2023-06-30,,USD
KDP,Keurig Dr Pepper Inc,2023-07-26,2023-06-30,0.4,USD
KE,Kimball Electronics Inc,2023-08-02,2023-06-30,0.68,USD
KEGX,KEGX,2023-08-11,2023-06-30,0,USD
KELTF,KELTF,2023-08-02,2023-06-30,,CAD
KELYA,Kelly Services Inc - Class A,2023-08-09,2023-06-30,0.43,USD
KELYB,Kelly Services Inc - Class B,2023-08-10,2023-06-30,0.4075,USD
KEN,Kenon Holdings Ltd,2023-08-29,2023-06-30,,USD
KEP,Korea Electric Power,2023-08-11,2023-06-30,-1.35,KRW
KEQU,Kewaunee Scientific Corporation,2023-06-27,2023-04-30,,USD
KEQU,Kewaunee Scientific Corporation,2023-09-06,2023-07-31,,USD
KERN,Akerna Corp,2023-08-08,2023-06-30,,USD
KEWL,KEWL,2023-08-14,2023-06-30,,USD
KEX,Kirby Corp,2023-07-26,2023-06-30,0.85,USD
KEY,Keycorp,2023-07-20,2023-06-30,0.36,USD
KEYS,Keysight Technologies Inc,2023-08-15,2023-07-31,2.04,USD
KEYUF,KEYUF,2023-08-02,2023-06-30,,CAD
KFRC,Kforce Inc,2023-07-31,2023-06-30,0.96,USD
KFS,Kingsway Financial Services Inc,2023-08-02,2023-06-30,,USD
KFY,Korn Ferry,2023-06-27,2023-04-30,1.01,USD
KFY,Korn Ferry,2023-09-05,2023-07-31,1.02,USD
KGC,Kinross Gold Corp,2023-08-02,2023-06-30,0.08,USD
KGEIF,KGEIF,2023-08-07,2023-06-30,,USD
KGJI,KGJI,2023-08-14,2023-06-30,0,USD
KHC,Kraft Heinz Company,2023-07-25,2023-06-30,0.76,USD
KHOLY,KHOLY,2023-08-16,2023-06-30,1.3,TRY
KHOTF,KHOTF,2023-08-17,2023-06-30,0.005,USD
KHRNF,KHRNF,2023-08-28,2023-06-30,,USD
KHTRF,KHTRF,2023-08-09,2023-06-30,,CAD
KIDS,OrthoPediatrics Corp,2023-08-01,2023-06-30,-0.22,USD
KIM,Kimco Realty Corporation,2023-07-26,2023-06-30,0.1559,USD
KIND,Nextdoor Holdings Inc - Class A,2023-08-07,2023-06-30,-0.09,USD
KINS,Kingstone Cos. Inc,2023-08-09,2023-06-30,0.03,USD
KIQ,Kelso Technologies Inc,2023-08-09,2023-06-30,,USD
KIRK,Kirkland`s Inc,2023-08-28,2023-07-31,-1.1,USD
KIROY,KIROY,2023-07-25,2023-06-30,0,ZAR
KITT,Nauticus Robotics Inc,2023-08-30,2023-06-30,-0.1267,USD
KKPNY,KKPNY,2023-07-24,2023-06-30,0.0493,EUR
KKR,KKR & Co. Inc,2023-07-27,2023-06-30,0.7704,USD
KLAC,KLA Corp,2023-07-26,2023-06-30,4.86,USD
KLBAY,KLBAY,2023-07-26,2023-06-30,0.2233,BRL
KLDI,KLDI,2023-08-08,2023-06-30,,USD
KLIC,Kulicke & Soffa Industries Inc,2023-08-01,2023-06-30,0.32,USD
KLNG,KLNG,2023-08-07,2023-06-30,,USD
KLR,Kaleyra Inc,2023-08-07,2023-06-30,-0.58,USD
KLTR,Kaltura Inc,2023-08-16,2023-06-30,-0.0442,USD
KLXE,KLX Energy Services Holdings Inc,2023-08-09,2023-07-31,1.26,USD
KMB,Kimberly-Clark Corp,2023-07-25,2023-06-30,1.43,USD
KMDA,Kamada Ltd,2023-08-15,2023-06-30,0.02,USD
KMI,Kinder Morgan Inc - Class P,2023-07-18,2023-06-30,0.24,USD
KMMPF,KMMPF,2023-08-08,2023-06-30,,CAD
KMPH,KMPH,2023-08-09,2023-06-30,-0.2333,USD
KMPR,Kemper Corporation,2023-07-31,2023-06-30,-0.29,USD
KMT,Kennametal Inc,2023-07-31,2023-06-30,0.58,USD
KMTUY,KMTUY,2023-07-28,2023-06-30,0,JPY
KMX,Carmax Inc,2023-06-23,2023-05-31,0.79,USD
KN,Knowles Corp,2023-07-31,2023-06-30,0.22,USD
KNBIF,KNBIF,2023-08-23,2023-06-30,,CAD
KNBWF,KNBWF,2023-08-07,2023-06-30,,JPY
KNBWY,KNBWY,2023-08-08,2023-06-30,0.2091,JPY
KNDI,Kandi Technologies Group Inc,2023-08-07,2023-06-30,,USD
KNF,Knife River Corp,2023-08-30,2023-06-30,0,USD
KNOP,KNOT Offshore Partners LP,2023-08-23,2023-06-30,-0.03,USD
KNOS,KNOS,2023-08-30,2023-06-30,0,USD
KNSA,Kiniksa Pharmaceuticals Ltd - Class A,2023-08-01,2023-06-30,-0.17,USD
KNSL,Kinsale Capital Group Inc,2023-07-26,2023-06-30,2.51,USD
KNTE,Kinnate Biopharma Inc,2023-08-09,2023-06-30,-0.75,USD
KNTK,Kinetik Holdings Inc - Class A,2023-08-07,2023-06-30,0.48,USD
KNTNF,KNTNF,2023-08-14,2023-06-30,0.055,USD
KNW,Know Labs Inc,2023-08-07,2023-06-30,-0.02,USD
KNX,Knight-Swift Transportation Holdings Inc - Class A,2023-07-20,2023-06-30,0.76,USD
KO,Coca-Cola Company,2023-07-24,2023-06-30,0.72,USD
KOAN,KOAN,2023-08-16,2023-06-30,0,USD
KOD,Kodiak Sciences Inc,2023-08-07,2023-06-30,-1.31,USD
KODK,Eastman Kodak Company,2023-08-07,2023-06-30,,USD
KOF,Coca-Cola Femsa S.A.B. DE C.V.,2023-07-27,2023-06-30,22.35,USD
KOMOF,KOMOF,2023-06-28,2023-03-31,,CAD
KOOYF,KOOYF,2023-08-24,2023-06-30,,CAD
KOP,Koppers Holdings Inc,2023-08-02,2023-06-30,1.08,USD
KOPN,Kopin Corp,2023-07-31,2023-06-30,-0.02,USD
KORE,Kore Group Holdings Inc,2023-08-10,2023-06-30,-0.1435,USD
KOS,Kosmos Energy Ltd,2023-08-07,2023-06-30,0.11,USD
KOSS,Koss Corp,2023-08-23,2023-06-30,,USD
KPELY,KPELY,2023-07-20,2023-06-30,0.213,SGD
KPIFF,KPIFF,2023-08-28,2023-07-31,,USD
KPLT,Katapult Holdings Inc,2023-08-07,2023-06-30,-0.09,USD
KPRX,Kiora Pharmaceuticals Inc,2023-08-10,2023-06-30,-1.06,USD
KPTI,Karyopharm Therapeutics Inc,2023-08-02,2023-06-30,-0.34,USD
KPTSF,KPTSF,2023-08-09,2023-06-30,,CAD
KR,Kroger Company,2023-09-07,2023-08-31,0.91,USD
KRBP,Kiromic BioPharma Inc,2023-08-10,2023-06-30,,USD
KRC,Kilroy Realty Corp,2023-07-25,2023-06-30,0.39,USD
KREF,KKR Real Estate Finance Trust Inc,2023-07-24,2023-06-30,0.27,USD
KRG,Kite Realty Group Trust,2023-07-31,2023-06-30,-0.03,USD
KRKNF,KRKNF,2023-08-28,2023-06-30,,CAD
KRKR,36Kr Holdings Inc,2023-08-21,2023-06-30,,CNY
KRLCF,KRLCF,2023-08-14,2023-06-30,,USD
KRLTF,KRLTF,2023-08-10,2023-06-30,,CAD
KRMD,KORU Medical Systems Inc,2023-08-01,2023-06-30,-0.05,USD
KRNT,Kornit Digital Ltd,2023-08-08,2023-06-30,-0.21,USD
KRNY,Kearny Financial Corp,2023-07-26,2023-06-30,0.15,USD
KRO,Kronos Worldwide Inc,2023-08-01,2023-06-30,0.03,USD
KRON,Kronos Bio Inc,2023-08-02,2023-06-30,-0.46,USD
KROS,Keros Therapeutics Inc,2023-08-02,2023-06-30,-1.34,USD
KRP,Kimbell Royalty Partners LP,2023-08-02,2023-06-30,0.2,USD
KRRGF,KRRGF,2023-08-10,2023-06-30,,CAD
KRT,Karat Packaging Inc,2023-08-09,2023-06-30,0.31,USD
KRTX,Karuna Therapeutics Inc,2023-08-07,2023-06-30,-2.78,USD
KRUS,Kura Sushi USA Inc - Class A,2023-07-06,2023-05-31,0.04,USD
KRYS,Krystal Biotech Inc,2023-08-07,2023-06-30,-0.86,USD
KSBI,KSBI,2023-07-20,2023-06-30,,USD
KSCP,Knightscope Inc - Class A,2023-08-11,2023-06-30,,USD
KSIOF,KSIOF,2023-08-08,2023-06-30,,CAD
KSPN,KSPN,2023-09-11,2023-08-31,,USD
KSS,Kohl`s Corp,2023-08-16,2023-07-31,0.21,USD
KT,KT Corporation,2023-08-09,2023-06-30,0.5931,USD
KTB,Kontoor Brands Inc,2023-08-02,2023-06-30,0.65,USD
KTCC,Key Tronic Corp,2023-08-07,2023-06-30,,USD
KTEL,KTEL,2023-08-14,2023-06-30,,USD
KTHN,KTHN,2023-07-17,2023-06-30,,USD
KTOS,Kratos Defense & Security Solutions Inc,2023-08-02,2023-06-30,0.05,USD
KTPPF,KTPPF,2023-08-17,2023-06-30,,CAD
KTTA,Pasithea Therapeutics Corp,2023-08-30,2023-06-30,-0.17,USD
KTYCF,KTYCF,2023-08-09,2023-06-30,,CAD
KUBTY,KUBTY,2023-08-02,2023-06-30,1.47,JPY
KUKE,Kuke Music Holding Ltd,2023-08-07,2023-06-30,,CNY
KULR,KULR Technology Group Inc,2023-08-14,2023-06-30,-0.05,USD
KURA,Kura Oncology Inc,2023-08-01,2023-06-30,-0.55,USD
KUYAF,KUYAF,2023-08-16,2023-07-31,,USD
KVHI,KVH Industries Inc,2023-08-07,2023-06-30,0.06,USD
KVUE,Kenvue Inc,2023-07-20,2023-06-30,0.3,USD
KW,Kennedy-Wilson Holdings Inc,2023-08-01,2023-06-30,0.04,USD
KWHIY,KWHIY,2023-08-01,2023-06-30,0,JPY
KWR,Quaker Houghton,2023-08-02,2023-06-30,1.87,USD
KXSCF,KXSCF,2023-08-07,2023-06-30,,USD
KYMR,Kymera Therapeutics Inc,2023-08-07,2023-06-30,-0.72,USD
KYN,Kayne Anderson Energy Infrastructure Fund Inc,2023-07-25,2023-05-31,,USD
KYOCY,KYOCY,2023-08-02,2023-06-30,0.5513,JPY
KZR,Kezar Life Sciences Inc,2023-08-09,2023-06-30,-0.32,USD
L,Loews Corp,2023-07-31,2023-06-30,,USD
LAB,Standard BioTools Inc,2023-08-07,2023-06-30,-0.0441,USD
LABP,Landos Biopharma Inc,2023-08-09,2023-06-30,-1.07,USD
LAC,Lithium Americas Corp,2023-07-26,2023-06-30,-0.1,USD
LAD,Lithia Motors Inc - Class A,2023-07-18,2023-06-30,9.15,USD
LADR,Ladder Capital Corp - Class A,2023-07-26,2023-06-30,0.32,USD
LADX,LADX,2023-08-09,2023-06-30,,USD
LADXD,LADXD,2023-08-09,2023-06-30,,USD
LAKE,Lakeland Industries Inc,2023-09-06,2023-07-31,0.22,USD
LAMR,Lamar Advertising Co - Class A,2023-08-01,2023-06-30,1.4,USD
LANC,Lancaster Colony Corp,2023-08-23,2023-06-30,1.28,USD
LAND,Gladstone Land Corp,2023-08-07,2023-06-30,-0.13,USD
LARK,Landmark Bancorp Inc,2023-07-24,2023-06-30,,USD
LASE,Laser Photonics Corp,2023-08-30,2023-06-30,0,USD
LASLY,LASLY,2023-06-30,2023-03-31,0,CNY
LASLY,LASLY,2023-08-30,2023-06-30,0,CNY
LASR,nLIGHT Inc,2023-08-02,2023-06-30,-0.08,USD
LAUR,Laureate Education Inc,2023-08-02,2023-06-30,0.52,USD
LAW,CS Disco Inc,2023-08-09,2023-06-30,-0.2,USD
LAZ,Lazard Ltd - Class A,2023-07-26,2023-06-30,0.21,USD
LAZR,Luminar Technologies Inc - Class A,2023-08-07,2023-06-30,-0.23,USD
LAZY,Lazydays Holdings Inc,2023-08-02,2023-05-31,,USD
LAZY,Lazydays Holdings Inc,2023-08-02,2023-06-30,0.11,USD
LBAI,Lakeland Bancorp Inc,2023-07-26,2023-06-30,0.41,USD
LBAS,LBAS,2023-07-18,2023-05-31,0,USD
LBC,Luther Burbank Corp,2023-07-24,2023-06-30,0.2,USD
LBLCF,LBLCF,2023-07-25,2023-06-30,,CAD
LBPH,Longboard Pharmaceuticals Inc,2023-08-02,2023-06-30,-0.6,USD
LBRDA,Liberty Broadband Corp - Series A,2023-08-03,2023-06-30,1.57,USD
LBRDK,Liberty Broadband Corp - Series C,2023-08-10,2023-06-30,1.55,USD
LBRT,Liberty Energy Inc - Class A,2023-07-24,2023-06-30,0.96,USD
LBTI,LBTI,2023-08-22,2023-06-30,0,USD
LBTYA,Liberty Global plc - Class A,2023-07-24,2023-06-30,-0.07,USD
LBTYB,Liberty Global plc - Class B,2023-07-24,2023-06-30,0.0857,USD
LBTYK,Liberty Global plc - Class C,2023-07-24,2023-06-30,0.0857,USD
LC,LendingClub Corp,2023-07-25,2023-06-30,0.04,USD
LCGMF,LCGMF,2023-08-09,2023-06-30,0,USD
LCI,Lannett Co. Inc,2023-08-22,2023-06-30,,USD
LCID,Lucid Group Inc,2023-08-01,2023-06-30,-0.38,USD
LCII,LCI Industries,2023-07-31,2023-06-30,1.21,USD
LCIN,LCIN,2023-08-22,2023-06-30,,USD
LCINQ,LCINQ,2023-08-22,2023-06-30,,USD
LCNB,LCNB Corp,2023-07-24,2023-06-30,0.36,USD
LCSHF,LCSHF,2023-07-27,2023-06-30,0,USD
LCTC,LCTC,2023-08-07,2023-06-30,,USD
LCTX,Lineage Cell Therapeutics Inc,2023-08-09,2023-06-30,-0.05,USD
LCUT,Lifetime Brands Inc,2023-08-02,2023-06-30,-0.16,USD
LDI,LoanDepot Inc - Class A,2023-08-07,2023-06-30,-0.12,USD
LDSN,LDSN,2023-08-16,2023-06-30,,USD
LE,Lands` End Inc,2023-08-30,2023-07-31,-0.11,USD
LEA,Lear Corp,2023-07-31,2023-06-30,2.8,USD
LEAT,LEAT,2023-08-09,2023-06-30,,USD
