symbol,name,reportDate,fiscalDateEnding,estimate,currency
AFLYY,AFLYY,2023-07-28,2023-06-30,0.1269,EUR
AFMD,Affimed N.V.,2023-08-09,2023-06-30,-0.21,EUR
AFRM,Affirm Holdings Inc - Class A,2023-08-23,2023-06-30,-0.85,USD
AFYA,Afya Ltd - Class A,2023-08-23,2023-06-30,0.29,BRL
AG,First Majestic Silver Corporation,2023-08-02,2023-06-30,0.03,USD
AGAE,Allied Gaming & Entertainment Inc,2023-08-14,2023-06-30,,USD
AGBA,AGBA Group Holding Ltd,2023-08-14,2023-06-30,,USD
AGCCF,AGCCF,2023-08-28,2023-06-30,,CAD
AGCO,AGCO Corp,2023-07-26,2023-06-30,3.73,USD
AGDXF,AGDXF,2023-09-20,2023-06-30,,CAD
AGE,AgeX Therapeutics Inc,2023-08-08,2023-06-30,,USD
AGEN,Agenus Inc,2023-08-07,2023-06-30,-0.2,USD
AGESY,AGESY,2023-08-30,2023-06-30,1.72,EUR
AGFAF,AGFAF,2023-08-28,2023-06-30,0,CAD
AGFY,Agrify Corp,2023-08-14,2023-06-30,,USD
AGGFF,AGGFF,2023-08-21,2023-06-30,,USD
AGGHF,AGGHF,2023-08-30,2023-06-30,0,USD
AGGZF,AGGZF,2023-08-08,2023-06-30,,CAD
AGI,Alamos Gold Inc - Class A,2023-07-25,2023-06-30,0.13,USD
AGIL,AgileThought Inc - Class A,2023-09-11,2023-06-30,-0.066,USD
AGIO,Agios Pharmaceuticals Inc,2023-08-02,2023-06-30,-1.56,USD
AGL,Agilon Health Inc,2023-08-02,2023-06-30,-0.03,USD
AGLE,Aeglea BioTherapeutics Inc,2023-08-02,2023-06-30,-0.15,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2023-08-07,2023-06-30,3.23,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,2023-08-09,2023-06-30,3,USD
AGMJF,AGMJF,2023-08-03,2023-06-30,,CAD
AGNC,AGNC Investment Corp,2023-07-24,2023-06-30,0.62,USD
AGO,Assured Guaranty Ltd,2023-08-01,2023-06-30,1.03,USD
AGPYY,AGPYY,2023-08-30,2023-06-30,0,CNY
AGR,Avangrid Inc,2023-07-25,2023-06-30,0.51,USD
AGRI,AgriFORCE Growing Systems Ltd,2023-08-30,2023-06-30,-0.02,USD
